Labelings for a tree n = 5
Number of graceful labelings found: 48
------------| Vertex labelings by vertex order |--------------------------------
V[0]=0, V[1]=4, V[2]=1, V[3]=2, V[4]=3, 
V[0]=0, V[1]=4, V[2]=1, V[3]=3, V[4]=2, 
V[0]=0, V[1]=4, V[2]=2, V[3]=1, V[4]=3, 
V[0]=0, V[1]=4, V[2]=3, V[3]=1, V[4]=2, 
V[0]=0, V[1]=4, V[2]=2, V[3]=3, V[4]=1, 
V[0]=0, V[1]=4, V[2]=3, V[3]=2, V[4]=1, 
V[0]=4, V[1]=0, V[2]=3, V[3]=2, V[4]=1, 
V[0]=4, V[1]=0, V[2]=3, V[3]=1, V[4]=2, 
V[0]=4, V[1]=0, V[2]=2, V[3]=3, V[4]=1, 
V[0]=4, V[1]=0, V[2]=1, V[3]=3, V[4]=2, 
V[0]=4, V[1]=0, V[2]=2, V[3]=1, V[4]=3, 
V[0]=4, V[1]=0, V[2]=1, V[3]=2, V[4]=3, 
V[0]=3, V[1]=0, V[2]=4, V[3]=2, V[4]=1, 
V[0]=3, V[1]=0, V[2]=4, V[3]=1, V[4]=2, 
V[0]=2, V[1]=0, V[2]=4, V[3]=3, V[4]=1, 
V[0]=1, V[1]=0, V[2]=4, V[3]=3, V[4]=2, 
V[0]=2, V[1]=0, V[2]=4, V[3]=1, V[4]=3, 
V[0]=1, V[1]=0, V[2]=4, V[3]=2, V[4]=3, 
V[0]=1, V[1]=4, V[2]=0, V[3]=2, V[4]=3, 
V[0]=1, V[1]=4, V[2]=0, V[3]=3, V[4]=2, 
V[0]=2, V[1]=4, V[2]=0, V[3]=1, V[4]=3, 
V[0]=3, V[1]=4, V[2]=0, V[3]=1, V[4]=2, 
V[0]=2, V[1]=4, V[2]=0, V[3]=3, V[4]=1, 
V[0]=3, V[1]=4, V[2]=0, V[3]=2, V[4]=1, 
V[0]=3, V[1]=0, V[2]=2, V[3]=4, V[4]=1, 
V[0]=3, V[1]=0, V[2]=1, V[3]=4, V[4]=2, 
V[0]=2, V[1]=0, V[2]=3, V[3]=4, V[4]=1, 
V[0]=1, V[1]=0, V[2]=3, V[3]=4, V[4]=2, 
V[0]=2, V[1]=0, V[2]=1, V[3]=4, V[4]=3, 
V[0]=1, V[1]=0, V[2]=2, V[3]=4, V[4]=3, 
V[0]=1, V[1]=4, V[2]=2, V[3]=0, V[4]=3, 
V[0]=1, V[1]=4, V[2]=3, V[3]=0, V[4]=2, 
V[0]=2, V[1]=4, V[2]=1, V[3]=0, V[4]=3, 
V[0]=3, V[1]=4, V[2]=1, V[3]=0, V[4]=2, 
V[0]=2, V[1]=4, V[2]=3, V[3]=0, V[4]=1, 
V[0]=3, V[1]=4, V[2]=2, V[3]=0, V[4]=1, 
V[0]=3, V[1]=0, V[2]=2, V[3]=1, V[4]=4, 
V[0]=3, V[1]=0, V[2]=1, V[3]=2, V[4]=4, 
V[0]=2, V[1]=0, V[2]=3, V[3]=1, V[4]=4, 
V[0]=1, V[1]=0, V[2]=3, V[3]=2, V[4]=4, 
V[0]=2, V[1]=0, V[2]=1, V[3]=3, V[4]=4, 
V[0]=1, V[1]=0, V[2]=2, V[3]=3, V[4]=4, 
V[0]=1, V[1]=4, V[2]=2, V[3]=3, V[4]=0, 
V[0]=1, V[1]=4, V[2]=3, V[3]=2, V[4]=0, 
V[0]=2, V[1]=4, V[2]=1, V[3]=3, V[4]=0, 
V[0]=3, V[1]=4, V[2]=1, V[3]=2, V[4]=0, 
V[0]=2, V[1]=4, V[2]=3, V[3]=1, V[4]=0, 
V[0]=3, V[1]=4, V[2]=2, V[3]=1, V[4]=0, 
------------| Vertex labelings in DFS order |--------------------------------
0, 4, 1, 2, 3, 
0, 4, 1, 3, 2, 
0, 4, 2, 1, 3, 
0, 4, 3, 1, 2, 
0, 4, 2, 3, 1, 
0, 4, 3, 2, 1, 
4, 0, 3, 2, 1, 
4, 0, 3, 1, 2, 
4, 0, 2, 3, 1, 
4, 0, 1, 3, 2, 
4, 0, 2, 1, 3, 
4, 0, 1, 2, 3, 
3, 0, 4, 2, 1, 
3, 0, 4, 1, 2, 
2, 0, 4, 3, 1, 
1, 0, 4, 3, 2, 
2, 0, 4, 1, 3, 
1, 0, 4, 2, 3, 
1, 4, 0, 2, 3, 
1, 4, 0, 3, 2, 
2, 4, 0, 1, 3, 
3, 4, 0, 1, 2, 
2, 4, 0, 3, 1, 
3, 4, 0, 2, 1, 
3, 0, 2, 4, 1, 
3, 0, 1, 4, 2, 
2, 0, 3, 4, 1, 
1, 0, 3, 4, 2, 
2, 0, 1, 4, 3, 
1, 0, 2, 4, 3, 
1, 4, 2, 0, 3, 
1, 4, 3, 0, 2, 
2, 4, 1, 0, 3, 
3, 4, 1, 0, 2, 
2, 4, 3, 0, 1, 
3, 4, 2, 0, 1, 
3, 0, 2, 1, 4, 
3, 0, 1, 2, 4, 
2, 0, 3, 1, 4, 
1, 0, 3, 2, 4, 
2, 0, 1, 3, 4, 
1, 0, 2, 3, 4, 
1, 4, 2, 3, 0, 
1, 4, 3, 2, 0, 
2, 4, 1, 3, 0, 
3, 4, 1, 2, 0, 
2, 4, 3, 1, 0, 
3, 4, 2, 1, 0, 
