[00000000] 1 | 0 4 1 2 3  *Graceful*
[00000000] 1 | 0 4 1 3 2  *Graceful*
[00000000] 1 | 0 4 2 1 3  *Graceful*
[00000000] 1 | 0 4 3 1 2  *Graceful*
[00000000] 1 | 0 4 2 3 1  *Graceful*
[00000000] 1 | 0 4 3 2 1  *Graceful*
[00000000] 1 | 4 0 3 2 1  *Graceful*
[00000000] 1 | 4 0 3 1 2  *Graceful*
[00000000] 1 | 4 0 2 3 1  *Graceful*
[00000000] 1 | 4 0 1 3 2  *Graceful*
[00000000] 1 | 4 0 2 1 3  *Graceful*
[00000000] 1 | 4 0 1 2 3  *Graceful*
[00000000] 1 | 3 0 4 2 1  *Graceful*
[00000000] 1 | 3 0 4 1 2  *Graceful*
[00000000] 1 | 2 0 4 3 1  *Graceful*
[00000000] 1 | 1 0 4 3 2  *Graceful*
[00000000] 1 | 2 0 4 1 3  *Graceful*
[00000000] 1 | 1 0 4 2 3  *Graceful*
[00000000] 1 | 1 4 0 2 3  *Graceful*
[00000000] 1 | 1 4 0 3 2  *Graceful*
[00000000] 1 | 2 4 0 1 3  *Graceful*
[00000000] 1 | 3 4 0 1 2  *Graceful*
[00000000] 1 | 2 4 0 3 1  *Graceful*
[00000000] 1 | 3 4 0 2 1  *Graceful*
[00000000] 1 | 3 0 2 4 1  *Graceful*
[00000000] 1 | 3 0 1 4 2  *Graceful*
[00000000] 1 | 2 0 3 4 1  *Graceful*
[00000000] 1 | 1 0 3 4 2  *Graceful*
[00000000] 1 | 2 0 1 4 3  *Graceful*
[00000000] 1 | 1 0 2 4 3  *Graceful*
[00000000] 1 | 1 4 2 0 3  *Graceful*
[00000000] 1 | 1 4 3 0 2  *Graceful*
[00000000] 1 | 2 4 1 0 3  *Graceful*
[00000000] 1 | 3 4 1 0 2  *Graceful*
[00000000] 1 | 2 4 3 0 1  *Graceful*
[00000000] 1 | 3 4 2 0 1  *Graceful*
[00000000] 1 | 3 0 2 1 4  *Graceful*
[00000000] 1 | 3 0 1 2 4  *Graceful*
[00000000] 1 | 2 0 3 1 4  *Graceful*
[00000000] 1 | 1 0 3 2 4  *Graceful*
[00000000] 1 | 2 0 1 3 4  *Graceful*
[00000000] 1 | 1 0 2 3 4  *Graceful*
[00000000] 1 | 1 4 2 3 0  *Graceful*
[00000000] 1 | 1 4 3 2 0  *Graceful*
[00000000] 1 | 2 4 1 3 0  *Graceful*
[00000000] 1 | 3 4 1 2 0  *Graceful*
[00000000] 1 | 2 4 3 1 0  *Graceful*
[00000000] 1 | 3 4 2 1 0  *Graceful*
