[00000000] 1 | 0 5 1 2 4 3  *Graceful*
[00000000] 1 | 0 5 1 2 3 4  *Graceful*
[00000000] 1 | 0 5 3 1 4 2  *Graceful*
[00000000] 1 | 0 5 3 1 2 4  *Graceful*
[00000000] 1 | 5 0 4 3 1 2  *Graceful*
[00000000] 1 | 5 0 4 3 2 1  *Graceful*
[00000000] 1 | 5 0 2 4 1 3  *Graceful*
[00000000] 1 | 5 0 2 4 3 1  *Graceful*
[00000000] 1 | 4 0 5 3 1 2  *Graceful*
[00000000] 1 | 4 0 5 3 2 1  *Graceful*
[00000000] 1 | 2 0 5 4 1 3  *Graceful*
[00000000] 1 | 2 0 5 4 3 1  *Graceful*
[00000000] 1 | 1 5 0 2 4 3  *Graceful*
[00000000] 1 | 1 5 0 2 3 4  *Graceful*
[00000000] 1 | 3 5 0 1 4 2  *Graceful*
[00000000] 1 | 3 5 0 1 2 4  *Graceful*
[00000000] 1 | 4 0 1 5 2 3  *Graceful*
[00000000] 1 | 4 0 1 5 3 2  *Graceful*
[00000000] 1 | 1 0 4 5 2 3  *Graceful*
[00000000] 1 | 1 0 4 5 3 2  *Graceful*
[00000000] 1 | 3 0 2 5 1 4  *Graceful*
[00000000] 1 | 2 0 3 5 1 4  *Graceful*
[00000000] 1 | 3 0 2 5 4 1  *Graceful*
[00000000] 1 | 2 0 3 5 4 1  *Graceful*
[00000000] 1 | 1 5 4 0 3 2  *Graceful*
[00000000] 1 | 1 5 4 0 2 3  *Graceful*
[00000000] 1 | 4 5 1 0 3 2  *Graceful*
[00000000] 1 | 4 5 1 0 2 3  *Graceful*
[00000000] 1 | 2 5 3 0 4 1  *Graceful*
[00000000] 1 | 3 5 2 0 4 1  *Graceful*
[00000000] 1 | 2 5 3 0 1 4  *Graceful*
[00000000] 1 | 3 5 2 0 1 4  *Graceful*
[00000000] 1 | 1 4 3 0 5 2  *Graceful*
[00000000] 1 | 3 4 1 0 5 2  *Graceful*
[00000000] 1 | 1 3 2 0 5 4  *Graceful*
[00000000] 1 | 2 3 1 0 5 4  *Graceful*
[00000000] 1 | 4 1 2 5 0 3  *Graceful*
[00000000] 1 | 2 1 4 5 0 3  *Graceful*
[00000000] 1 | 4 2 3 5 0 1  *Graceful*
[00000000] 1 | 3 2 4 5 0 1  *Graceful*
[00000000] 1 | 1 4 3 0 2 5  *Graceful*
[00000000] 1 | 3 4 1 0 2 5  *Graceful*
[00000000] 1 | 1 3 2 0 4 5  *Graceful*
[00000000] 1 | 2 3 1 0 4 5  *Graceful*
[00000000] 1 | 4 1 2 5 3 0  *Graceful*
[00000000] 1 | 2 1 4 5 3 0  *Graceful*
[00000000] 1 | 4 2 3 5 1 0  *Graceful*
[00000000] 1 | 3 2 4 5 1 0  *Graceful*
