Labelings for a tree n = 8
Number of graceful labelings found: 56
------------| Vertex labelings by vertex order |--------------------------------
V[0]=0, V[1]=7, V[2]=1, V[3]=2, V[4]=6, V[5]=3, V[6]=4, V[7]=5, 
V[0]=0, V[1]=7, V[2]=1, V[3]=2, V[4]=4, V[5]=5, V[6]=6, V[7]=3, 
V[0]=0, V[1]=7, V[2]=3, V[3]=1, V[4]=6, V[5]=5, V[6]=4, V[7]=2, 
V[0]=0, V[1]=7, V[2]=3, V[3]=1, V[4]=6, V[5]=4, V[6]=2, V[7]=5, 
V[0]=0, V[1]=7, V[2]=5, V[3]=1, V[4]=6, V[5]=2, V[6]=4, V[7]=3, 
V[0]=0, V[1]=7, V[2]=3, V[3]=1, V[4]=4, V[5]=2, V[6]=6, V[7]=5, 
V[0]=0, V[1]=7, V[2]=3, V[3]=1, V[4]=2, V[5]=5, V[6]=6, V[7]=4, 
V[0]=0, V[1]=7, V[2]=5, V[3]=1, V[4]=4, V[5]=3, V[6]=6, V[7]=2, 
V[0]=7, V[1]=0, V[2]=6, V[3]=5, V[4]=1, V[5]=4, V[6]=3, V[7]=2, 
V[0]=7, V[1]=0, V[2]=6, V[3]=5, V[4]=3, V[5]=2, V[6]=1, V[7]=4, 
V[0]=7, V[1]=0, V[2]=4, V[3]=6, V[4]=1, V[5]=2, V[6]=3, V[7]=5, 
V[0]=7, V[1]=0, V[2]=4, V[3]=6, V[4]=1, V[5]=3, V[6]=5, V[7]=2, 
V[0]=7, V[1]=0, V[2]=2, V[3]=6, V[4]=1, V[5]=5, V[6]=3, V[7]=4, 
V[0]=7, V[1]=0, V[2]=4, V[3]=6, V[4]=3, V[5]=5, V[6]=1, V[7]=2, 
V[0]=7, V[1]=0, V[2]=4, V[3]=6, V[4]=5, V[5]=2, V[6]=1, V[7]=3, 
V[0]=7, V[1]=0, V[2]=2, V[3]=6, V[4]=3, V[5]=4, V[6]=1, V[7]=5, 
V[0]=6, V[1]=0, V[2]=7, V[3]=5, V[4]=1, V[5]=4, V[6]=3, V[7]=2, 
V[0]=6, V[1]=0, V[2]=7, V[3]=5, V[4]=3, V[5]=2, V[6]=1, V[7]=4, 
V[0]=4, V[1]=0, V[2]=7, V[3]=6, V[4]=1, V[5]=2, V[6]=3, V[7]=5, 
V[0]=4, V[1]=0, V[2]=7, V[3]=6, V[4]=1, V[5]=3, V[6]=5, V[7]=2, 
V[0]=2, V[1]=0, V[2]=7, V[3]=6, V[4]=1, V[5]=5, V[6]=3, V[7]=4, 
V[0]=4, V[1]=0, V[2]=7, V[3]=6, V[4]=3, V[5]=5, V[6]=1, V[7]=2, 
V[0]=4, V[1]=0, V[2]=7, V[3]=6, V[4]=5, V[5]=2, V[6]=1, V[7]=3, 
V[0]=2, V[1]=0, V[2]=7, V[3]=6, V[4]=3, V[5]=4, V[6]=1, V[7]=5, 
V[0]=1, V[1]=7, V[2]=0, V[3]=2, V[4]=6, V[5]=3, V[6]=4, V[7]=5, 
V[0]=1, V[1]=7, V[2]=0, V[3]=2, V[4]=4, V[5]=5, V[6]=6, V[7]=3, 
V[0]=3, V[1]=7, V[2]=0, V[3]=1, V[4]=6, V[5]=5, V[6]=4, V[7]=2, 
V[0]=3, V[1]=7, V[2]=0, V[3]=1, V[4]=6, V[5]=4, V[6]=2, V[7]=5, 
V[0]=5, V[1]=7, V[2]=0, V[3]=1, V[4]=6, V[5]=2, V[6]=4, V[7]=3, 
V[0]=3, V[1]=7, V[2]=0, V[3]=1, V[4]=4, V[5]=2, V[6]=6, V[7]=5, 
V[0]=3, V[1]=7, V[2]=0, V[3]=1, V[4]=2, V[5]=5, V[6]=6, V[7]=4, 
V[0]=5, V[1]=7, V[2]=0, V[3]=1, V[4]=4, V[5]=3, V[6]=6, V[7]=2, 
V[0]=1, V[1]=6, V[2]=2, V[3]=0, V[4]=7, V[5]=5, V[6]=3, V[7]=4, 
V[0]=2, V[1]=6, V[2]=1, V[3]=0, V[4]=7, V[5]=5, V[6]=3, V[7]=4, 
V[0]=3, V[1]=6, V[2]=4, V[3]=0, V[4]=7, V[5]=2, V[6]=1, V[7]=5, 
V[0]=4, V[1]=6, V[2]=3, V[3]=0, V[4]=7, V[5]=2, V[6]=1, V[7]=5, 
V[0]=6, V[1]=4, V[2]=3, V[3]=0, V[4]=7, V[5]=1, V[6]=5, V[7]=2, 
V[0]=3, V[1]=4, V[2]=6, V[3]=0, V[4]=7, V[5]=1, V[6]=5, V[7]=2, 
V[0]=6, V[1]=1, V[2]=5, V[3]=7, V[4]=0, V[5]=2, V[6]=4, V[7]=3, 
V[0]=5, V[1]=1, V[2]=6, V[3]=7, V[4]=0, V[5]=2, V[6]=4, V[7]=3, 
V[0]=4, V[1]=1, V[2]=3, V[3]=7, V[4]=0, V[5]=5, V[6]=6, V[7]=2, 
V[0]=3, V[1]=1, V[2]=4, V[3]=7, V[4]=0, V[5]=5, V[6]=6, V[7]=2, 
V[0]=1, V[1]=3, V[2]=4, V[3]=7, V[4]=0, V[5]=6, V[6]=2, V[7]=5, 
V[0]=4, V[1]=3, V[2]=1, V[3]=7, V[4]=0, V[5]=6, V[6]=2, V[7]=5, 
V[0]=1, V[1]=6, V[2]=2, V[3]=0, V[4]=3, V[5]=4, V[6]=7, V[7]=5, 
V[0]=2, V[1]=6, V[2]=1, V[3]=0, V[4]=3, V[5]=4, V[6]=7, V[7]=5, 
V[0]=3, V[1]=6, V[2]=4, V[3]=0, V[4]=1, V[5]=5, V[6]=7, V[7]=2, 
V[0]=4, V[1]=6, V[2]=3, V[3]=0, V[4]=1, V[5]=5, V[6]=7, V[7]=2, 
V[0]=6, V[1]=4, V[2]=3, V[3]=0, V[4]=5, V[5]=2, V[6]=7, V[7]=1, 
V[0]=3, V[1]=4, V[2]=6, V[3]=0, V[4]=5, V[5]=2, V[6]=7, V[7]=1, 
V[0]=6, V[1]=1, V[2]=5, V[3]=7, V[4]=4, V[5]=3, V[6]=0, V[7]=2, 
V[0]=5, V[1]=1, V[2]=6, V[3]=7, V[4]=4, V[5]=3, V[6]=0, V[7]=2, 
V[0]=4, V[1]=1, V[2]=3, V[3]=7, V[4]=6, V[5]=2, V[6]=0, V[7]=5, 
V[0]=3, V[1]=1, V[2]=4, V[3]=7, V[4]=6, V[5]=2, V[6]=0, V[7]=5, 
V[0]=1, V[1]=3, V[2]=4, V[3]=7, V[4]=2, V[5]=5, V[6]=0, V[7]=6, 
V[0]=4, V[1]=3, V[2]=1, V[3]=7, V[4]=2, V[5]=5, V[6]=0, V[7]=6, 
------------| Vertex labelings in DFS order |--------------------------------
0, 7, 1, 2, 6, 3, 4, 5, 
0, 7, 1, 2, 4, 5, 6, 3, 
0, 7, 3, 1, 6, 5, 4, 2, 
0, 7, 3, 1, 6, 4, 2, 5, 
0, 7, 5, 1, 6, 2, 4, 3, 
0, 7, 3, 1, 4, 2, 6, 5, 
0, 7, 3, 1, 2, 5, 6, 4, 
0, 7, 5, 1, 4, 3, 6, 2, 
7, 0, 6, 5, 1, 4, 3, 2, 
7, 0, 6, 5, 3, 2, 1, 4, 
7, 0, 4, 6, 1, 2, 3, 5, 
7, 0, 4, 6, 1, 3, 5, 2, 
7, 0, 2, 6, 1, 5, 3, 4, 
7, 0, 4, 6, 3, 5, 1, 2, 
7, 0, 4, 6, 5, 2, 1, 3, 
7, 0, 2, 6, 3, 4, 1, 5, 
6, 0, 7, 5, 1, 4, 3, 2, 
6, 0, 7, 5, 3, 2, 1, 4, 
4, 0, 7, 6, 1, 2, 3, 5, 
4, 0, 7, 6, 1, 3, 5, 2, 
2, 0, 7, 6, 1, 5, 3, 4, 
4, 0, 7, 6, 3, 5, 1, 2, 
4, 0, 7, 6, 5, 2, 1, 3, 
2, 0, 7, 6, 3, 4, 1, 5, 
1, 7, 0, 2, 6, 3, 4, 5, 
1, 7, 0, 2, 4, 5, 6, 3, 
3, 7, 0, 1, 6, 5, 4, 2, 
3, 7, 0, 1, 6, 4, 2, 5, 
5, 7, 0, 1, 6, 2, 4, 3, 
3, 7, 0, 1, 4, 2, 6, 5, 
3, 7, 0, 1, 2, 5, 6, 4, 
5, 7, 0, 1, 4, 3, 6, 2, 
1, 6, 2, 0, 7, 5, 3, 4, 
2, 6, 1, 0, 7, 5, 3, 4, 
3, 6, 4, 0, 7, 2, 1, 5, 
4, 6, 3, 0, 7, 2, 1, 5, 
6, 4, 3, 0, 7, 1, 5, 2, 
3, 4, 6, 0, 7, 1, 5, 2, 
6, 1, 5, 7, 0, 2, 4, 3, 
5, 1, 6, 7, 0, 2, 4, 3, 
4, 1, 3, 7, 0, 5, 6, 2, 
3, 1, 4, 7, 0, 5, 6, 2, 
1, 3, 4, 7, 0, 6, 2, 5, 
4, 3, 1, 7, 0, 6, 2, 5, 
1, 6, 2, 0, 3, 4, 7, 5, 
2, 6, 1, 0, 3, 4, 7, 5, 
3, 6, 4, 0, 1, 5, 7, 2, 
4, 6, 3, 0, 1, 5, 7, 2, 
6, 4, 3, 0, 5, 2, 7, 1, 
3, 4, 6, 0, 5, 2, 7, 1, 
6, 1, 5, 7, 4, 3, 0, 2, 
5, 1, 6, 7, 4, 3, 0, 2, 
4, 1, 3, 7, 6, 2, 0, 5, 
3, 1, 4, 7, 6, 2, 0, 5, 
1, 3, 4, 7, 2, 5, 0, 6, 
4, 3, 1, 7, 2, 5, 0, 6, 
