[00000000] 1 | 0 6 1 5 3 4 2  *Graceful*
[00000000] 1 | 6 0 5 1 3 2 4  *Graceful*
[00000000] 1 | 4 0 6 1 2 5 3  *Graceful*
[00000000] 1 | 3 0 6 1 2 4 5  *Graceful*
[00000000] 1 | 2 0 6 1 4 3 5  *Graceful*
[00000000] 1 | 2 6 0 5 4 1 3  *Graceful*
[00000000] 1 | 3 6 0 5 4 2 1  *Graceful*
[00000000] 1 | 4 6 0 5 2 3 1  *Graceful*
[00000000] 1 | 1 5 0 6 3 2 4  *Graceful*
[00000000] 1 | 4 5 0 6 3 1 2  *Graceful*
[00000000] 1 | 2 3 0 6 1 5 4  *Graceful*
[00000000] 1 | 5 1 6 0 3 4 2  *Graceful*
[00000000] 1 | 2 1 6 0 3 5 4  *Graceful*
[00000000] 1 | 4 3 6 0 5 1 2  *Graceful*
[00000000] 1 | 2 1 5 0 6 4 3  *Graceful*
[00000000] 1 | 1 2 4 0 6 3 5  *Graceful*
[00000000] 1 | 4 5 1 6 0 2 3  *Graceful*
[00000000] 1 | 5 4 2 6 0 3 1  *Graceful*
[00000000] 1 | 4 3 1 5 0 6 2  *Graceful*
[00000000] 1 | 3 4 2 5 0 6 1  *Graceful*
[00000000] 1 | 2 3 5 1 6 0 4  *Graceful*
[00000000] 1 | 3 2 4 1 6 0 5  *Graceful*
[00000000] 1 | 4 1 5 0 2 3 6  *Graceful*
[00000000] 1 | 2 3 5 0 4 1 6  *Graceful*
[00000000] 1 | 2 1 4 0 5 3 6  *Graceful*
[00000000] 1 | 1 3 4 0 5 2 6  *Graceful*
[00000000] 1 | 2 4 3 0 5 1 6  *Graceful*
[00000000] 1 | 4 2 3 0 5 1 6  *Graceful*
[00000000] 1 | 2 5 1 6 4 3 0  *Graceful*
[00000000] 1 | 4 3 1 6 2 5 0  *Graceful*
[00000000] 1 | 4 5 2 6 1 3 0  *Graceful*
[00000000] 1 | 5 3 2 6 1 4 0  *Graceful*
[00000000] 1 | 2 4 3 6 1 5 0  *Graceful*
[00000000] 1 | 4 2 3 6 1 5 0  *Graceful*
