[00000000] 1 | 0 7 1 6 2 5 3 4  *Graceful*
[00000000] 1 | 7 0 6 1 5 2 4 3  *Graceful*
[00000000] 1 | 6 0 7 2 3 1 5 2  *Graceful*
[00000000] 1 | 6 0 7 2 3 5 1 4  *Graceful*
[00000000] 1 | 3 0 7 1 6 2 4 5  *Graceful*
[00000000] 1 | 1 7 0 5 4 2 6 3  *Graceful*
[00000000] 1 | 1 7 0 5 4 6 2 5  *Graceful*
[00000000] 1 | 4 7 0 6 1 5 3 2  *Graceful*
[00000000] 1 | 1 6 0 7 3 4 2 5  *Graceful*
[00000000] 1 | 2 6 0 7 2 3 1 4  *Graceful*
[00000000] 1 | 3 6 0 7 2 4 5 1  *Graceful*
[00000000] 1 | 2 5 0 7 1 5 4 6  *Graceful*
[00000000] 1 | 2 5 0 7 1 5 6 4  *Graceful*
[00000000] 1 | 2 5 0 7 1 3 2 6  *Graceful*
[00000000] 1 | 6 1 7 0 4 3 5 2  *Graceful*
[00000000] 1 | 5 1 7 0 5 4 6 3  *Graceful*
[00000000] 1 | 4 1 7 0 5 3 2 6  *Graceful*
[00000000] 1 | 5 2 7 0 6 2 1 3  *Graceful*
[00000000] 1 | 5 2 7 0 6 2 3 1  *Graceful*
[00000000] 1 | 5 2 7 0 6 4 5 1  *Graceful*
[00000000] 1 | 5 1 6 0 7 4 2 3  *Graceful*
[00000000] 1 | 5 2 6 0 7 2 1 3  *Graceful*
[00000000] 1 | 5 2 6 0 7 2 3 1  *Graceful*
[00000000] 1 | 4 6 5 0 7 1 5 2  *Graceful*
[00000000] 1 | 6 4 5 0 7 1 5 2  *Graceful*
[00000000] 1 | 4 5 3 0 7 1 6 2  *Graceful*
[00000000] 1 | 2 6 1 7 0 3 5 4  *Graceful*
[00000000] 1 | 2 5 1 7 0 5 4 6  *Graceful*
[00000000] 1 | 2 5 1 7 0 5 6 4  *Graceful*
[00000000] 1 | 1 3 2 7 0 6 2 5  *Graceful*
[00000000] 1 | 3 1 2 7 0 6 2 5  *Graceful*
[00000000] 1 | 3 2 4 7 0 6 1 5  *Graceful*
[00000000] 1 | 1 5 4 6 0 7 2 5  *Graceful*
[00000000] 1 | 1 3 2 6 0 7 2 5  *Graceful*
[00000000] 1 | 3 1 2 6 0 7 2 5  *Graceful*
[00000000] 1 | 6 2 3 5 0 7 1 4  *Graceful*
[00000000] 1 | 3 6 4 5 0 7 1 5  *Graceful*
[00000000] 1 | 2 5 3 4 0 7 1 6  *Graceful*
[00000000] 1 | 6 2 3 1 7 0 5 2  *Graceful*
[00000000] 1 | 4 6 5 1 7 0 5 2  *Graceful*
[00000000] 1 | 6 4 5 1 7 0 5 2  *Graceful*
[00000000] 1 | 1 5 4 2 7 0 6 3  *Graceful*
[00000000] 1 | 4 1 3 2 7 0 6 2  *Graceful*
[00000000] 1 | 5 2 4 3 7 0 6 1  *Graceful*
[00000000] 1 | 2 3 5 1 6 0 7 4  *Graceful*
[00000000] 1 | 5 2 6 4 5 0 7 1  *Graceful*
[00000000] 1 | 3 6 2 4 5 0 7 1  *Graceful*
[00000000] 1 | 5 4 2 6 1 7 0 3  *Graceful*
[00000000] 1 | 4 1 5 3 2 7 0 6  *Graceful*
[00000000] 1 | 2 5 1 3 2 7 0 6  *Graceful*
[00000000] 1 | 3 4 2 5 1 6 0 7  *Graceful*
[00000000] 1 | 4 3 5 2 6 1 7 0  *Graceful*
